"Hotel_Name";"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
"
Matchbox Bangkok Hostel
";8,3;12;7;3;0;50;1;0
"
Gulliver's Tavern Hotel
";8,3;28;5;3;0;136;1;1
"
OYO 274 Meesook Residence
";7,8;15;12;3;0;231;1;0
"
iSanook Hostel
";8,9;21;3,1;3;0;456;1;1
"
Siam Piman Hotel
";7,7;35;23;4;0;126;1;0
"
MeStyle Museum Hotel
";8,9;32;8;4;0;76;1;0
"
Bliston Suwan Park View
";8,4;66;4,6;4;0;271;1;0
"
Ratchada Point Hotel
";7,7;19;8;3;0;232;1;0
"
Casa Vimaya Riverside
";8,8;29;0,95;4;0;1760;1;0
"
Moumou Hostel
";8,6;9;10;1;0;149;1;1
"
Platinum Villa
";7,8;18;3,9;3;0;923;1;0
"
14 Resort
";8,2;22;9;3;0;206;1;1
"
All Together Suite Hotel
";7,2;17;8;3;0;115;1;0
"
Al Meroz Hotel Bangkok - The Leading Halal Hotel
";8,7;39;10;5;0;333;1;0
"
Sukhothai Residence Ruam Ruedi
";7,9;34;5;3;0;104;1;0
"
iCheck inn Residences Sathorn
";7,9;34;7;4;0;80;1;0
"
King Royal Garden Inn
";6,9;16;4,5;3;0;286;1;0
"
Romance Hotel Sukhumvit 97
";8,2;36;12;3;1;2412;1;0
"
SK Muang Thong Thani
";6,5;28;17;3;0;24;1;0
"
The Krungkasem Srikrung Hotel
";8,1;23;2,1;2;0;1456;1;0
"
Chiva Bangkok Hotel
";7,6;26;8;3;1;279;1;0
"
OYO 935 The Palm Apartment
";7,7;14;3,8;2;0;12;1;0
"
Le Clarita
";7,6;16;4,1;3;0;202;1;0
"
The State Apartment
";8,4;21;6;3;0;208;1;1
"
V One Pride-Sukhumvit 22, Bangkok
";8,9;25;7;3;0;140;1;0
"
Erawan House
";7,9;20;1,4;2;0;1358;1;0
"
Snooze Hotel Thonglor Bangkok
";5,9;17;8;3;0;113;1;1
"
Siamplaengna Residence <U+0E2A><U+0E22><U+0E32><U+0E21><U+0E41><U+0E1B><U+0E25><U+0E07><U+0E19><U+0E32> <U+0E40><U+0E23><U+0E2A><U+0E0B><U+0E34><U+0E40><U+0E14><U+0E19><U+0E17><U+0E4C>
";9,2;28;8;3;0;23;1;1
"
Sena House
";6,7;24;10;3;0;17;1;1
"
OYO 525 MRT Phetkasem 48 Place
";5,8;12;8;2;0;5;1;0
"
130 Hotel & Residence Bangkok
";8,3;24;13;4;0;474;1;0
"
Nice Palace Hotel
";6,7;16;6;2;0;215;1;0
"
Baan Chart
";8,3;52;1,1;4;0;930;1;0
"
OYO 236 A Sleep Bangkok Sathorn
";8,5;16;5;3;0;290;1;0
"
The Prestige Nana
";7,6;42;5;3;0;185;1;1
"
The Heritage Hotels Sathorn
";6,5;32;4,8;3;1;107;1;1
"
Amanah Bangkok Hotel
";8,9;23;4;4;0;8;1;0
"
Silom Avenue Inn
";7,1;16;4;3;0;506;1;1
"
BED STATION Hostel Ratchthewi
";9,1;20;2,8;2;1;1021;1;1
"
Citadines Sukhumvit 11 Bangkok
";8,4;36;5;4;0;2118;1;0
"
Ratchadamnoen Residence
";8,5;25;0,4;4;0;866;1;1
"
Sleep Box Sukhumvit 22
";8,5;23;7;3;0;588;1;1
"
Zayn Hotel Bangkok
";8,5;45;14;4;0;211;1;1
"
The Aim Sathorn Hotel
";7,3;17;6;3;0;463;1;0
"
Lemontea Hotel
";8,6;24;3,5;3;0;314;1;0
"
Kingston Suites Bangkok
";7,7;58;5;4;0;252;1;0
"
The Plimplace 2
";8,4;38;10;3;0;111;1;0
"
Abloom Exclusive Serviced Apartments
";8,5;55;4,3;4;0;272;1;0
"
Best Comfort Residential Hotel
";6,6;41;6;3;1;55;1;1
"
Hope Land Hotel 46/1
";7,3;26;10;4;0;201;1;1
"
Everyday Bangkok Hostel
";8,7;18;3,5;2;0;303;1;1
"
P18 hotel
";9,3;26;3;3;0;475;1;0
"
Happyland Mansion
";7;17;15;3;0;141;1;0
"
Analog Hostel
";9;17;6;3;0;272;1;1
"
Lemonseed Rooms
";8,2;22;3,2;2;0;175;1;0
"
Bangkok Oasis Hotel
";8,5;37;2,1;3;0;302;1;0
"
39 Living
";7,8;26;7;3;0;246;1;0
"
Avatar Suites Hotel
";7,5;38;5;4;0;97;0;1
"
Escape at Sathorn Terrace
";8,3;30;4,3;3;0;22;1;1
"
Golden House
";7,2;31;4,2;3;0;735;1;0
"
Northgate Ratchayothin
";8,2;38;10;4;0;155;1;0
"
PomPom Home
";9,4;45;16;3;0;5;1;1
"
Baansuanprannok Hotel
";9,1;28;3,2;4;0;762;1;0
"
Sleep with Me Bangkok - BTS Phra Khanong
";7,5;14;10;3;0;381;1;0
"
Heaven@4
";8,1;17;5;3;0;118;1;1
"
Citypoint Hotel
";8,4;42;6;3;0;441;1;0
"
Baron Residence Bangkok
";8,1;19;13;4;0;158;0;0
"
Baan Mina
";8,2;22;10;2;0;122;1;1
"
Modena by Fraser Bangkok
";8,9;46;7;4;0;424;1;0
"
Olive Bangkok Hotel
";8,3;39;13;3;0;194;1;0
"
Aspira Hiptique Sukhumvit 13
";6,4;19;5;3;0;575;1;0
"
Nantra Sukhumvit 39
";6;15;7;3;0;272;1;1
"
Murraya Residence
";7,1;13;12;3;0;12;1;1
"
Admiral Premier Bangkok
";8,1;59;6;4;0;959;1;0
"
GM Serviced Apartment (SHA Certified)
";8,4;55;7;4;1;126;1;0
"
PDA Lord Hotel
";7,9;12;13;3;0;235;1;0
"
Volve Hotel Bangkok
";9,3;146;8;4;1;418;1;0
"
Station 203 Hotel
";8,3;18;24;3;1;13;1;1
"
Bangkok Inter Place
";7,7;31;12;4;1;69;1;1
"
S.D. Avenue Hotel
";7,3;44;3,6;3;0;77;0;1
"
Yotaka Bangkok Hotel
";8,6;26;12;3;0;155;0;0
"
Ten Ekamai Suites by Aspira
";8,1;30;9;4;0;424;1;0
"
OYO 280 Thai Garden Resort
";7,2;16;15;2;0;103;1;0
"
Met a Space Pod @ Asoke
";8,9;20;6;1;0;448;1;0
"
Salil Hotel Sukhumvit Soi 11
";8,1;27;5;4;0;651;0;0
"
The Residence Rajtaevee Hotel
";7,5;22;3,3;3;0;109;1;1
"
BU Place Hotel
";8,1;35;5;4;0;233;1;0
"
Grand President Bangkok
";6,9;42;5;4;0;2066;1;0
"
Grow Residences
";7,8;33;20;3;0;28;1;0
"
Praso@Ratchada12
";8,1;30;7;4;0;407;1;1
"
STAY Hotel BKK
";8,4;51;7;4;0;563;1;0
"
Diff Hostel
";8,8;26;2,8;2;1;411;1;1
"
Hope Land Hotel Sukhumvit 8
";8,3;276;5;4;0;526;1;1
"
OYO 783 Brunch Marker Cafe & Hostels
";8,2;12;0,95;2;0;85;1;1
"
Siri Heritage Bangkok Hotel
";9;50;1;3;1;1660;1;0
"
BRB Hostel Bangkok Silom
";8,1;16;4,2;2;0;385;1;1
"
JS Tower
";7,2;13;11;3;0;245;1;0
"
The Pillow Hostel Khaosan
";7,1;19;0,9;2;0;196;1;1
"
Nine Place Sukhumvit 40
";6,8;13;9;3;0;326;1;0
"
Akara Hotel
";8,6;71;3,9;5;0;447;1;1
"
Florida Hotel
";7,2;27;3,1;2;0;374;1;1
"
Aphrodite Inn Bangkok
";8,5;37;4;3;1;154;1;1
"
China Cozy Asoke
";8,4;22;6;3;0;33;1;1
"
Qiss Residence by Bliston
";8,1;82;9;4;0;6;1;1
"
Aspira D'Andora Sukhumvit 16 - Asoke
";8,4;21;6;3;0;186;1;0
"
RICO Hotel Ratchadapisek 32
";8,9;19;11;3;0;16;1;0
"
OYO 870 Jim’s Lodge Hotel
";7,1;33;5;3;0;219;1;0
"
Royal Ivory Sukhumvit Nana by Compass Hospitality
";6,8;44;5;3;0;1556;1;0
"
Nana Hiso Hotel
";7,5;31;5;3;0;69;1;1
"
Sri Krungthep Hotel
";7,8;19;0,4;2;0;626;1;0
"
OYO 491 5 Diamond
";8,7;14;17;3;0;188;1;0
"
Chinatown Hotel
";7,5;28;1,9;3;0;177;1;0
"
Chaidee Mansion
";7,7;57;5;3;0;46;1;1
"
A House Boutique Guesthouse
";5,8;12;6;1;0;67;1;1
"
OYO 378 Bright Minitel
";8,7;24;0,95;2;0;91;1;1
"
The Moon Night Hotel
";8,1;19;0,95;3;0;495;1;0
"
K.V.Mansion
";8,5;25;12;3;0;231;1;0
"
Atelier Suites
";8,2;25;12;4;0;229;1;0
"
Norn Yaowarat Hotel
";9,1;48;1,8;3;0;1213;1;0
"
The Park Residence @ Bangkok
";7,9;31;7;3;0;181;1;1
"
LiT BANGKOK Hotel
";8,5;73;2,8;5;0;610;1;0
"
OYO 312 Wire Bangkok Hostel Phrakanong
";7,5;13;10;3;0;71;1;0
"
Sitara Place Serviced Apartment & Hotel
";8,6;23;6;3;0;58;0;0
"
Oun Hotel Bangkok
";5,6;26;14;3;0;89;1;0
"
Siri Oriental Bangkok Hotel
";8,6;37;0,9;3;0;197;1;0
"
YWCA International House
";8,2;26;5;3;0;296;1;0
"
Siam Journey Guesthouse
";8,2;15;2,9;2;0;361;1;1
"
Oriental Heritage Residence
";9,1;111;3,5;3;0;1020;0;0
"
The Square 101
";8,8;64;14;5;0;6;1;1
"
White Ivory Bed And Breakfast
";8,9;32;4,2;3;0;402;1;0
"
Your Place
";8,3;25;3,5;3;0;53;1;0
"
The Four Wings Hotel Bangkok
";7,7;30;7;4;0;272;1;0
"
The Diamond 789 Minburi
";7,9;23;24;3;0;19;1;0
"
Montien Riverside Hotel
";8,1;61;7;5;0;289;1;1
"
Cana Boutique Hotel
";9,3;37;3,4;4;1;45;1;1
"
Augusta
";8,5;36;8;2;1;149;1;1
"
G9bangkok
";7,2;31;7;3;0;179;1;0
"
Yellow Ribbon Hills Boutique Suites
";8,5;47;5;3;0;367;1;0
"
42 Place
";6,5;23;16;2;0;14;1;1
"
Ebina House
";7,7;47;15;3;1;30;1;0
"
Kaset Guesthouse
";6,8;14;11;1;0;113;0;1
"
Witchuwan Apartel
";8,1;23;5;3;0;176;1;1
"
United Residence
";9;78;9;3;0;189;1;1
"
Niran Grand Hotel
";6,4;31;15;4;1;44;1;0
"
OYO 801 Inndy Suite
";7;14;14;2;0;7;1;0
"
Royal Suite Hotel Bangkok
";8,1;45;10;4;0;424;1;1
"
Swutel Hotel
";8,3;62;6;3;0;15;1;1
"
Here Hostel Bangkok
";8,7;24;0,25;2;0;2114;1;1
"
PlayHaus Thonglor
";8,8;58;8;3;0;372;1;1
"
A-One Inn
";6,9;20;2,8;2;0;108;1;1
"
OYO 1084 Guyasuka Ratchada
";7,8;9;8;2;0;70;1;1
"
Sereine Sukhumvit 39
";8,4;25;7;3;0;93;1;1
"
Zenniq
";8,4;43;4,3;3;0;220;1;0
"
OYO 483 Pannee Hotel Khaosan
";8,5;21;0,45;2;0;142;1;0
"
Aspira Residence Ruamrudee
";8,4;37;5;4;0;284;1;0
"
Bangkok ShortStay, 2-3BR SUKHUMVIT
";9,1;161;7;4;1;325;1;1
"
Cnc Residence
";8,4;93;7;4;0;152;1;0
"
OYO 308 Wire Bangkok Hostel Onnut
";6,1;11;12;2;0;31;1;1
"
OYO 960 The Urban Age Deluxe
";8,2;27;4;2;0;52;1;1
"
Centric Place Hotel
";7;23;6;3;0;138;1;0
"
The Siam
";8,9;672;2,9;5;1;46;1;1
"
A Room Bangkok Sathorn
";8;17;5;2;0;41;1;0
"
Bangkok Patio
";8,8;46;4,3;4;0;682;1;1
"
Silom Forest Exclusive Residence
";8,7;17;4,5;3;0;99;1;1
"
Tim Mansion
";8;22;0,4;2;0;736;1;0
"
Delight Residence
";8,4;28;16;3;0;152;1;1
"
2Bedtel
";7,7;15;12;4;0;90;1;1
"
Trinity Silom Hotel
";8,1;57;4,5;3;0;411;1;0
"
Le Tada Parkview Hotel
";8,7;30;3,8;4;0;343;1;1
"
Studio Asoke
";6,8;20;6;3;0;119;1;0
"
Spenza Hotel
";8,3;22;3,5;3;0;376;1;0
"
Atlas Bangkok Hotel
";7,6;22;5;3;0;387;1;0
"
Coco Hotel
";7,5;40;18;3;0;39;1;0
"
3Howw Hostel Khaosan
";8,2;16;0,9;2;1;501;1;1
"
Cozy@9Hotel&Kitchen
";8,5;42;7;3;0;50;1;0
"
For You Residence
";7,4;19;4;2;0;314;1;0
"
House 23 Guesthouse
";8,7;20;6;3;1;164;1;1
"
Tongpoon Hotel
";6,8;17;2;3;0;227;1;1
"
Vacation Bangkok, The Artistic Home
";9;61;3,1;3;0;71;1;1
"
Penpark Place
";8;21;1,4;2;0;597;1;0
"
OYO 796 Paradise Sukhumvit Hotel
";1;18;10;3;0;3;1;0
"
BB Garden Resort
";8,5;31;6;3;0;155;1;1
"
OYO 376 Ok Home Airport
";6,4;13;25;2;0;190;1;0
"
Thomson Hotel Huamark
";7,3;57;11;3;0;83;1;0
"
The Fusion Suites
";7,9;47;6;3;0;76;1;0
"
Loft 77
";6,7;20;14;3;0;152;1;0
"
OYO 254 Royal Pimand
";5,5;14;13;3;0;66;1;0
"
Nest by Sangob
";8,5;44;8;3;0;233;1;1
"
Boutique Poo-Yai Lee
";8,5;37;6;3;1;433;1;1
"
The Platinum Suite
";7,4;21;11;4;0;238;1;1
"
Sky dome resotel
";7;33;13;4;1;47;0;1
"
Arawana Regency Park Sukhumvit
";6,3;21;6;4;0;1067;1;0
"
OYO 457 Panasan Villa
";8,3;11;14;1;0;15;1;0
"
Beyond Suite
";6,7;47;4,4;4;1;46;1;1
"
Riverfront Bangkok
";8;40;10;4;0;34;1;1
"
The Inn Saladaeng
";8;29;4,7;3;0;281;1;0
"
S1hostel Bangkok
";8,6;23;5;2;0;168;1;1
"
The Mini R Ratchada
";8,2;36;7;3;0;189;1;0
"
Admire Thonburi
";8;20;3,7;3;0;245;1;1
"
Le Paradis Bangkok
";6,7;22;10;3;0;150;1;0
"
Hi Residence, Bangkok
";7,1;32;5;4;0;222;1;0
"
Klub Hotel
";8,5;86;3,3;4;0;392;1;0
"
Baankhunmae Apartment
";7,2;11;16;2;0;59;1;1
"
Ariyasom Villa
";9,2;166;5;4;1;182;1;0
"
OYO 432 Longzhu Guesthouse
";6,4;22;5;2;0;62;1;0
"
Nine Forty One Hotel
";7,5;52;13;4;1;39;1;1
"
Lee Garden Bangkok
";8;20;12;4;0;16;1;0
"
Fortuna Hotel
";6,3;49;5;3;1;42;1;1
"
Samsen Sam Place
";8,3;15;1,4;2;0;816;1;0
"
V20 Boutique Hotel By Locals
";8,9;72;8;4;1;375;1;0
"
My Hotel Pratunam
";7,2;19;3,5;3;0;59;1;1
"
The Atrium Ratchada 13
";7,6;23;7;3;0;346;1;1
"
Spb Paradise
";7,4;19;8;3;0;148;1;0
"
Good Houses Apartment
";7;22;16;2;0;30;1;1
"
Thanabhumi
";9,5;31;0,7;2;0;815;1;1
"
Primrose Place
";8,6;66;18;2;1;8;1;0
"
Zenith Sukhumvit Hotel
";7,6;81;5;4;1;439;1;1
"
Benjaratch Boutique Apartment
";7,8;17;22;2;0;7;1;0
"
Lost and Found Bed and Breakfast
";8,4;23;4,7;3;0;40;1;1
"
Korbua House
";8;17;0,9;3;0;581;1;1
"
BB Home (Wanghin 46)
";7;16;11;3;0;28;1;1
"
Smile Inn
";7,6;23;0,55;2;0;352;1;1
"
iCheck inn Nana
";7,9;25;5;3;0;649;1;0
"
137 Pillars Residences Bangkok
";9;254;7;5;1;117;1;0
"
P.T. Court
";7,4;62;3,5;3;0;27;1;0
"
Siam Tharadol
";8,3;37;13;5;0;460;1;0
"
VX The Fifty
";7,6;11;11;2;0;185;1;1
"
Lodge 61 Hotel
";7,3;21;9;3;0;311;1;0
"
RALPH Bangkok
";8,4;22;1,9;3;0;210;1;1
"
Alanda Hotel & Apartment
";6,3;28;3,4;3;0;6;1;1
"
Grand Inn Hotel
";6,8;30;5;3;0;327;1;0
"
Baan Noppawong
";9,2;35;0,6;3;0;250;1;1
"
Bedever Bangkok Boutique Hotel
";8,3;21;10;3;0;49;1;1
"
The Cube Hostel
";8,8;17;4,6;3;0;535;1;1
"
Sabai Sabai@Sukhumvit Hotel
";8,1;34;10;3;0;101;1;0
"
OYO 537 Na Banglampoo Hotel
";8;16;1,1;2;0;923;1;0
"
The Qube fifty Hotel
";9,4;25;11;4;1;112;1;0
"
Prince Suites Residence Managed by Prince Palace
";7,2;54;1,1;5;0;292;1;0
"
The Connex Asoke
";8,3;50;6;3;0;401;1;0
"
Right Place Sathorn
";7,2;21;7;2;0;90;1;0
"
Sathorn Saint View Serviced Apartment
";7;19;4,8;2;0;418;1;0
"
The Choice Residence - Adults Only
";9,2;28;8;3;0;104;1;1
"
Orchid Place
";6;11;5;1;0;21;1;1
"
Nantra Ploenchit hotel
";4,9;19;4,8;3;0;31;1;1
"
DT Hotel - Pratunam
";6;14;3,2;2;0;100;1;0
"
Sawasdee Sukhumvit Inn
";7,6;17;8;2;0;229;1;0
"
Baansilom Soi 3
";8;38;4,3;2;0;95;1;1
"
Good One Poshtel & Cafe Bar
";8,4;19;4,2;2;0;246;1;1
"
Livinn91 Hotel
";8,6;44;1,4;3;0;13;1;1
"
Varmtel
";9;27;3,8;3;0;819;1;1
"
The Travellers Hotel
";7,5;26;8;3;0;105;1;0
"
The Raya Surawong Bangkok
";8,3;39;4,1;3;0;111;0;0
"
Swana Bangkok Hotel
";7,6;27;1,1;3;0;317;1;0
"
137 Pillars Suites Bangkok
";9,2;569;7;5;1;41;1;0
"
P&R Residence
";8,3;44;3,2;3;0;432;1;0
"
Sib Kao
";8,9;55;6;3;0;164;1;1
"
D Varee Residence Montara Thonglor 25
";7,9;27;8;3;0;93;1;0
"
OYO 484 Pannee Residence Khaosan
";7,7;24;0,45;2;0;106;1;0
"
Siamaze Hostel
";8,9;16;7;3;1;214;1;1
"
Bossotel Bangkok
";7,9;40;4;3;0;624;1;0
